Город,Имя,Должность,Email
Москва ,Оксана Маклакова ,Главный редактор,mailto:msk1@iportal.ru
Национальная редакция ,Илья Ненко ,Шеф-редактор,mailto:rednews@iportal.ru
Екатеринбург ,Александр Ашбель ,Главный редактор,mailto:e1@iportal.ru
Новосибирск ,Марина Малкова ,Главный редактор,mailto:ngs@iportal.ru
Нижний Новгород ,-,Почта редакции,mailto:nn@iportal.ru
Челябинск ,Мария Филипцева ,Главный редактор,mailto:74@iportal.ru
Кемерово ,Анастасия Ильина ,Главный редактор,mailto:ngs42@iportal.ru
Тюмень ,Александра Марчук ,Редакционный директор,mailto:72@iportal.ru
Пермь ,Екатерина Вохмянина ,Главный редактор,mailto:59@iportal.ru
Волгоград ,Николай Смуров ,Главный редактор,mailto:v1@iportal.ru
Ростов-на-Дону ,Валентин Булавко ,Главный редактор,mailto:161@iportal.ru
Ярославль ,Анна Ёлкина ,Главный редактор,mailto:76@iportal.ru
Самара ,Татьяна Плотникова ,Главный редактор,mailto:63@iportal.ru
Уфа ,Антон Селиверстов ,Главный редактор,mailto:ufa1@iportal.ru
Иркутск ,Зоя Кузнецова ,Главный редактор,mailto:info@ircity.ru
Чита ,Екатерина Шайтанова ,Главный редактор,mailto:info@chita.ru
Архангельск ,Елена Ионайтис ,Главный редактор,mailto:29@iportal.ru
Омск ,Олег Малиновский ,Главный редактор,mailto:ngs55@iportal.ru
Красноярск ,Евгений Зиновьев ,Главный редактор,mailto:ngs24@iportal.ru
Тольятти ,Татьяна Плотникова ,Главный редактор,mailto:763@iportal.ru
Краснодар ,Виктор Дереза ,Главный редактор,mailto:93@iportal.ru
Ханты-Мансийск ,Никита Кифорук ,Шеф-редактор,mailto:86@iportal.ru
Курган ,Алена Кисель ,Главный редактор,mailto:45@iportal.ru
Магнитогорск ,Мария Филипцева ,Главный редактор,mailto:mgorsk@iportal.ru
Сочи ,-,Почта редакции:,mailto:sochi1@iportal.ru
Казань ,Карина Миллер ,Главный редактор,mailto:116@iportal.ru
